Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,CONSO(Watt),I,PDUOndulé,PDUNormal,cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,"FCTotal","FCUtilisé","RJ45Total","RJ45Utilisé","RJ45Futur","IPMIUtilisé","IPMIFutur","RJ45CM","IPMIDédié",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,
TPB -1,DEM3,LDAPSMB-08,Serveur,1,Rackable,2,DELL,PowerEdge R820,8KMKF02,364,"1,58",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,2,0,,1,,,,4,1,,,1FC,1FC,,,,,,,,,
TPB -1,DEM3,PROXYAUTH-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,76XX75J,152,"0,66",,,∞,,Cluster admin,DOIP,Déménagement,4,Stock,,0,0,,2,,,,4,1,,,,,,,,,,,,,
TPB -1,DEM3,PROXYPRO-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,96XX75J,185,"0,80",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,2,,,,4,1,,,,,,,,,,,,,
TPB -1,DEM3,RELGREYNG-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,JFC2F4J,228,"0,99",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,1,,,,4,0,2RJ,,,,,,,,,,,,
TPB -1,DEM3,RELTERNET-02,Serveur,1,Rackable,4,DELL,PowerEdge 6850,46YNK3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,2,,,,2,0,,,,,,,,,,,,,
TPB -1,DEM3,RELTERNET-04,Serveur,1,Rackable,4,DELL,PowerEdge 6850,G5YNK3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,2,,,,2,0,,,,,,,,,,,,,
TPB -1,DEM3,RP-INTRA-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,3643H4J,174,"0,76",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,1,,,,4,1,,,,,,,,,,,,,
TPB -1,DEM3,RP-INTRA-04,Serveur,1,Rackable,1,DELL,PowerEdge R610,6H0LR4J,96,"0,42",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,1,,,,4,0,,,,,,,,,,,,,
TPB -1,DEM3,RP-INTRA-06,Serveur,1,Rackable,1,DELL,PowerEdge R610,FX6M15J,167,"0,73",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,1,,,,4,1,,,,,,,,,,,,,
TPB -1,DEM3,SAFITA-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,FBD2F4J,178,"0,77",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,1,,,,4,0,2RJ,2RJ,,,,,,,,,,,
TPB -1,DEM3,ZP-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,G3Y6X4J,416,"1,81",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,1,,,,4,0,,,,,,,,,,,,,
TPB -1,DEM4,BO-PROD-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,J1WKR4J,172,"0,75",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,0,0,,2,,,,4,0,,,,,,,,,,,,,
TPB -1,DEM4,DEBMIROIR-NAT-02,Serveur,1,Rackable,2,DELL,PowerEdge 2950,5YN054J,350,"1,52",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,0,0,,1,,,,2,0,2RJ,,,,,,,,,,,,
TPB -1,DEM4,H-ACAI-06,Serveur,1,Rackable,2,DELL,PowerEdge R820,4PH4ZZ1,196,"0,85",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,2,2,,6,,,,4,1,4RJ,1FC,,,,1FC,,,,,,,
TPB -1,DEM4,H-ACAI-08,Serveur,1,Rackable,2,DELL,PowerEdge R820,GPH4ZZ1,210,"0,91",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,2,2,,6,,,,4,1,4RJ,1FC,,,,1FC,,,,,,,
TPB -1,DEM4,H-INFRA-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,G16975J,422,"1,83",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,4,2,,6,,,,4,1,4RJ,,,,2FC,2FC,,,,,,,
TPB -1,DEM4,LB-ACAI-04,Serveur,1,Rackable,1,DELL,PowerEdge R410,8WV6X4J,160,"0,70",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,1,,,,2,1,,,,,,,,,,,,,
TPB -1,DEM4,LB-INTER-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,C2F925J,105,"0,46",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,2,,,,4,1,,,,,,,,,,,,,
TPB -1,DEM4,LB-M2-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,92F925J,118,"0,51",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,1,,,,4,1,,,,,,,,,,,,,
TPB -1,DEM4,LOG-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,DFC2F4J,228,"0,99",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,0,0,,2,,,,4,0,2RJ,,,,,,,,,,,,
TPB -1,DEM4,M2-HACLUSTER-QUAL-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,24XWD5J,110,"0,48",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,0,0,,2,,,,4,1,,,,,,,,,,,,,
TPB -1,DEM4,PNE-EOLE-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,7G2LR4J,145,"0,63",,,∞,,Cluster admin,DOIP,Déménagement,4,Stock,,0,0,,1,,,,4,0,,,,,,,,,,,,,
TPB -1,DEM4,PNE-EOLE-04,Serveur,1,Rackable,2,DELL,PowerEdge R710,J5QX75J,210,"0,91",,,,?,Singleton admin,DOIP,Déménagement,3,S1,2,0,0,,2,,,,4,1,,,,,,,,,,,,,
TPB -1,DEM4,PROXYAUTH-04,Serveur,1,Rackable,2,DELL,PowerEdge R710,5SQH05J,152,"0,66",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,0,0,,2,,,,4,1,,,,,,,,,,,,,
